Date,Open,High,Low,Close,Volume
2025-02-04,208.78078633853767,593.8413877298309,75.16083886688227,187.09140004754792,2272
2025-02-05,133.55976517478837,619.7452759790148,93.7407577614029,298.59835146628524,7966
2025-02-06,280.22591381978486,574.6887114444908,58.84821366569179,233.3113363158204,3383
2025-02-07,199.46055274983397,670.7733630699745,69.85099584675223,351.52960451084124,9118
2025-02-08,467.00210023698037,670.0589831317625,80.49079936668866,481.0435951505137,8152
2025-02-09,289.10942963587877,649.6319309579596,56.68399299645746,181.4632969594283,9041
2025-02-10,157.85520201455574,657.1242089024634,52.82499702747592,277.9765406028366,8791
2025-02-11,420.5459009703746,631.6700836864309,75.56813785248198,262.66463088595094,6530
2025-02-12,340.8541326025579,669.5140494436903,82.83797784475861,418.9356588646403,2554
2025-02-13,462.98855451940534,651.7900345377789,84.65706735729725,250.35308291891738,7909
